,sample,log_conc_truesoil,acronym
585,709,8.510269628,Arch_16S
586,245,8.832316744,Arch_16S
587,252,8.746814389,Arch_16S
588,637,8.536213243,Arch_16S
589,227,8.719259742,Arch_16S
590,255,8.916990743,Arch_16S
591,438,7.21228997,Arch_16S
592,250,8.571570343,Arch_16S
593,633,8.093657643,Arch_16S
594,331,8.852105143,Arch_16S
595,655,7.851555653,Arch_16S
596,646,8.323377472,Arch_16S
597,337,8.031155447,Arch_16S
598,344,8.534606344,Arch_16S
599,723,8.105825737,Arch_16S
600,717,8.324483362,Arch_16S
601,714,8.234656352,Arch_16S
602,721,8.060928776,Arch_16S
603,730,7.900002346,Arch_16S
604,638,8.154354878,Arch_16S
605,728,8.288837007,Arch_16S
606,610,7.945079643,Arch_16S
607,701,8.357866852,Arch_16S
608,653,8.414727324,Arch_16S
609,622,8.093646824,Arch_16S
610,343,8.703793886,Arch_16S
611,640,8.20408607,Arch_16S
612,521,7.264607239,Arch_16S
613,214,8.792607047,Arch_16S
614,525,8.044696659,Arch_16S
615,242,8.743326343,Arch_16S
616,249,8.558973324,Arch_16S
617,747,8.086617429,Arch_16S
618,620,8.22014407,Arch_16S
619,238,8.778881544,Arch_16S
620,234,8.766988924,Arch_16S
621,608,7.945114089,Arch_16S
622,421,7.604668374,Arch_16S
623,241,8.82403747,Arch_16S
624,353,8.692561324,Arch_16S
625,340,8.719721144,Arch_16S
626,347,8.793488686,Arch_16S
627,440,7.42029917,Arch_16S
628,547,8.197151484,Arch_16S
629,419,8.32212827,Arch_16S
630,352,8.70513111,Arch_16S
631,501,8.013758776,Arch_16S
632,508,7.099404348,Arch_16S
633,320,8.521951943,Arch_16S
634,654,8.199006544,Arch_16S
635,235,8.609409589,Arch_16S
636,506,7.686698435,Arch_16S
637,738,7.912633195,Arch_16S
638,609,8.252140843,Arch_16S
639,616,8.38853247,Arch_16S
640,554,7.966800929,Arch_16S
641,445,7.467288286,Arch_16S
642,329,8.72038919,Arch_16S
643,336,8.173258686,Arch_16S
644,615,8.123441444,Arch_16S
645,346,8.660827003,Arch_16S
646,333,8.555974389,Arch_16S
647,231,8.733079944,Arch_16S
648,504,7.833820182,Arch_16S
649,623,8.088705043,Arch_16S
650,444,7.390388443,Arch_16S
651,502,7.413223035,Arch_16S
652,354,8.635751544,Arch_16S
653,414,7.996437544,Arch_16S
654,702,8.037462081,Arch_16S
655,727,8.112846451,Arch_16S
656,345,8.691470789,Arch_16S
657,313,8.078834289,Arch_16S
658,624,8.034215624,Arch_16S
659,710,8.583278906,Arch_16S
660,602,7.813824924,Arch_16S
661,748,8.256875448,Arch_16S
662,737,7.766552943,Arch_16S
663,606,7.903050744,Arch_16S
664,603,7.873335144,Arch_16S
665,407,8.59121267,Arch_16S
666,755,8.469549919,Arch_16S
667,338,8.407988568,Arch_16S
668,454,7.858477344,Arch_16S
669,256,8.450573963,Arch_16S
670,447,7.383027744,Arch_16S
