sample,auc_dea,log_auc_dea,mmol_kg_hr,treatment,location,timepoint
543,8.2205292577875,2.3243983699109574,12.033,maize monoculture,Karama,4
544,10.0193979331125,2.4865218390932182,11.092,Napier grass,Karama,4
545,1.38513421545,1.2193935556372797,1.768,Brachiaria cv. Mulato II,Karama,4
546,5.2060992298875,1.9749277826845313,8.540799999999999,Desmodium distortum,Karama,4
547,8.0653749433875,2.3091013105973626,9.2939,Maize + Desmodium,Karama,4
548,37.9919241228,3.6886775368000073,30.909,Napier + Desmodium,Karama,4
549,19.1059356882375,3.0495543131598963,14.224,Brachiaria + Desmodium,Karama,4
550,20.5335855171,3.1150068859054616,16.765,maize monoculture,Karama,4
551,27.8551876515375,3.3963586154100347,23.956,Napier grass,Karama,4
552,9.05593141155,2.402967063275065,13.333,Brachiaria cv. Mulato II,Karama,4
553,13.4756977212375,2.7392709045486177,17.053,Desmodium distortum,Karama,4
554,6.804359693212501,2.1752470184875854,10.391,Maize + Desmodium,Karama,4
555,17.299093720725,2.9600581373329145,21.906,Napier + Desmodium,Karama,4
556,8.969632541550002,2.3951307770579273,4.0697,Brachiaria + Desmodium,Karama,4
601,2.03397281151375,1.3947516996763252,2.133,maize monoculture,Rubona,5
602,3.90105372041625,1.7751309316459056,4.398,Napier grass,Rubona,5
603,4.4606125589025005,1.8657241366585802,5.1258,Brachiaria cv. Mulato II,Rubona,5
604,3.01518522556125,1.612470355041166,3.1463,Desmodium distortum,Rubona,5
605,2.7619720804725,1.5606618850639684,2.9298,Maize + Desmodium,Rubona,5
606,2.58398826063375,1.5225694184653873,2.6126,Napier + Desmodium,Rubona,5
607,2.19691689586125,1.4343501833122527,2.1673000000000004,Brachiaria + Desmodium,Rubona,5
608,1.6915028907675,1.306033662604275,1.7761,maize monoculture,Rubona,5
609,2.3337378387825005,1.4664304118481748,2.4126,Napier grass,Rubona,5
610,4.478957434320001,1.8685596076546047,4.5137,Brachiaria cv. Mulato II,Rubona,5
611,2.4309297446249998,1.4886094366696272,2.3644000000000003,Desmodium distortum,Rubona,5
612,2.17135228594875,1.4282402724366765,1.9862000000000002,Maize + Desmodium,Rubona,5
613,2.4555693149437503,1.4941548451135245,2.3846,Napier + Desmodium,Rubona,5
614,3.3467077031625,1.676480988895886,3.4562,Brachiaria + Desmodium,Rubona,5
615,3.04520628446625,1.6184385418628553,3.2254,maize monoculture,Rubona,5
616,13.684811321249999,2.7526928123226004,12.598,Napier grass,Rubona,5
617,6.005449031062501,2.0801224386996506,5.7506,Brachiaria cv. Mulato II,Rubona,5
618,9.7041205222875,2.4599409611944947,9.346200000000001,Desmodium distortum,Rubona,5
619,5.771910243000001,2.0505159826837094,5.5908999999999995,Maize + Desmodium,Rubona,5
620,11.330084778225,2.5900234941272573,11.115,Napier + Desmodium,Rubona,5
621,7.282834395262499,2.2281669306876783,6.8966,Brachiaria + Desmodium,Rubona,5
