sample,gwc,pH,timepoint,date,location,treatment,block
732,0.12010919,6.13,6,2/10/21,Karama,Desmodium distortum,1
733,0.117967332,6.16,6,2/10/21,Karama,Maize + Desmodium,1
734,0.112701252,6.34,6,2/10/21,Karama,Napier + Desmodium,1
735,0.116031887,6.09,6,2/10/21,Karama,Brachiaria + Desmodium,1
736,0.107843137,5.85,6,2/10/21,Karama,maize monoculture,2
737,0.115420129,6.77,6,2/10/21,Karama,Napier grass,2
738,0.125113327,6.45,6,2/10/21,Karama,Brachiaria cv. Mulato II,2
739,0.131702728,6.21,6,2/10/21,Karama,Desmodium distortum,2
740,0.117647059,5.96,6,2/10/21,Karama,Maize + Desmodium,2
741,0.130314233,6.25,6,2/10/21,Karama,Napier + Desmodium,2
742,0.120580236,5.93,6,2/10/21,Karama,Brachiaria + Desmodium,2
743,0.107376284,6.22,6,2/10/21,Karama,maize monoculture,3
744,0.122065728,6.15,6,2/10/21,Karama,Napier grass,3
745,0.129502573,6.15,6,2/10/21,Karama,Brachiaria cv. Mulato II,3
746,0.114695341,5.85,6,2/10/21,Karama,Desmodium distortum,3
747,0.098143236,6.19,6,2/10/21,Karama,Maize + Desmodium,3
748,0.127320955,6.25,6,2/10/21,Karama,Napier + Desmodium,3
749,0.114901257,6.29,6,2/10/21,Karama,Brachiaria + Desmodium,3
750,0.108156028,6.31,6,2/10/21,Karama,maize monoculture,4
751,0.122854562,6.49,6,2/10/21,Karama,Napier grass,4
752,0.134683099,6.47,6,2/10/21,Karama,Brachiaria cv. Mulato II,4
753,0.099910794,6.48,6,2/10/21,Karama,Desmodium distortum,4
754,0.108991826,6.25,6,2/10/21,Karama,Maize + Desmodium,4
755,0.122130395,6.11,6,2/10/21,Karama,Napier + Desmodium,4
756,0.117540687,5.94,6,2/10/21,Karama,Brachiaria + Desmodium,4
